Model,Accuracy,Precision,Recall,F1,ROC-AUC,Training Time (s)
xgboost,0.8649074438755415,0.7405220041912746,0.5565578465063001,0.6354941551540914,0.8886144351157508,2.85
random_forest,0.8583936740691368,0.7237504843084076,0.5349369988545246,0.6151819529063066,0.8740208294019931,7.91
logistic_regression,0.8333989759747932,0.6933090341057017,0.3813001145475372,0.49200923787528866,0.8144923366980104,0.27
